"data_sheet","collection_date","site","habitat","experiment_date","collection_temp","exp_start","exp_end","ramp_start","water_bath","thermometer","exp_notes","tube","ctmax","order","genus","species","author","year","instar","sex","eggs","body_length_um","id_notes","low_lat","low_lat_elevation","high_lat","high_lat_elevation","lat_range","elev_range","mean_gs"
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid with eggs",1,26.8,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","present",1388.7,"",NA,NA,NA,NA,NA,NA,0.8908286187
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid with eggs",2,26.5,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","present",1518.8,"",NA,NA,NA,NA,NA,NA,0.8908286187
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid",3,26.1,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","present",1520,"",NA,NA,NA,NA,NA,NA,0.8908286187
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Mesocyclops",4,35.7,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",1090,"few eggs only",34.4,NA,72.4,10,38,NA,NA
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Heterocope",6,32.2,"Calanoid","Heterocope","appendiculata","Sars G.O.",1863,"CVI","female","absent",2196.1,"",NA,NA,NA,NA,NA,NA,5.76802394434091
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid with eggs",7,33.6,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1149.9,"",NA,NA,NA,NA,NA,NA,4.4749244646
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid",8,33.6,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","absent",1190.4,"",NA,NA,NA,NA,NA,NA,4.4749244646
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid",9,33.4,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1124,"",NA,NA,NA,NA,NA,NA,4.4749244646
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Cyclopoid? ",10,29.2,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","present",1270,"",41.5,268,81.8,156,40.3,112,NA
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid",11,26.3,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","present",1479.6,"",NA,NA,NA,NA,NA,NA,0.8908286187
