"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"1408,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;P;665;Few eggs;;
"1409,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1218,3;;;
"1410,""Cyclopoid""";Thermocyclops;oithonoides;(Sars G.O.);1863;CVI;female;;715;;;
"1411,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;980;;;
"1412,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1218;;;
"1601,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;885;;;
"1602,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1287;;;
"1603,""Calanoid""";;;;;;;;;lack of specimen in the tube;;
"1604,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;910;;;
"1605,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1232,4;;;
"1607,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1294,1;;;
"1608,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;940;;;
"1609,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1051,7;;;
"1610,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;905;;;
"1611,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1192;;;
"1612,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;;955;;;
"1501,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1690;;;
"1502,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1340;;;
"1503,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1280;;;
